filename,copyright,inscription_siglum,provenance,editio_princeps,field_collector,reference_siglum,transliteration,translation,site,ociana_link
im0099440.jpg,,BES15 1195,,,,"",l mʿtm bn ʾmr,By Mʿtm son of ʾmr,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42434
im0099441.jpg,,BES15 1195,,,,"",l mʿtm bn ʾmr,By Mʿtm son of ʾmr,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42434
im0099442.jpg,,BES15 1195,,,,"",l mʿtm bn ʾmr,By Mʿtm son of ʾmr,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42434
im0099443.jpg,,BES15 1196,,,,"",l s¹by bn ʾm{r},By S¹by son of ʾmr,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42435
im0099530.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
im0099444.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
im0099445.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
im0099446.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
im0099447.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
im0099448.jpg,,BES15 1197,,,,"",l s¹b bn hdn w h rḍy ġnym h- b{h}s¹,By S¹b son of Hdn and O Rḍy [grant him] the beautiful Slave girl as booty,"Al-Mafraq Governorate, Jordan",https://ociana.osu.edu/inscriptions/42436
